nivel_max_rio,humedad_aire,vel_viento,temperatura,precipitacion,nivel_min_rio,dir_viento,temp_max_aire,nivel_inst_rio,temp_min_aire,pres_atmosferica,codigoestacion,nivel_max_riohumedad_aire,nivel_max_riovel_viento,nivel_max_riotemperatura,nivel_max_rioprecipitacion,nivel_max_rionivel_min_rio,nivel_max_riodir_viento,nivel_max_riotemp_max_aire,nivel_max_rionivel_inst_rio,nivel_max_riotemp_min_aire,nivel_max_riopres_atmosferica,humedad_airevel_viento,humedad_airetemperatura,humedad_aireprecipitacion,humedad_airenivel_min_rio,humedad_airedir_viento,humedad_airetemp_max_aire,humedad_airenivel_inst_rio,humedad_airetemp_min_aire,humedad_airepres_atmosferica,vel_vientotemperatura,vel_vientoprecipitacion,vel_vientonivel_min_rio,vel_vientodir_viento,vel_vientotemp_max_aire,vel_vientonivel_inst_rio,vel_vientotemp_min_aire,vel_vientopres_atmosferica,temperaturaprecipitacion,temperaturanivel_min_rio,temperaturadir_viento,temperaturatemp_max_aire,temperaturanivel_inst_rio,temperaturatemp_min_aire,temperaturapres_atmosferica,precipitacionnivel_min_rio,precipitaciondir_viento,precipitaciontemp_max_aire,precipitacionnivel_inst_rio,precipitaciontemp_min_aire,precipitacionpres_atmosferica,nivel_min_riodir_viento,nivel_min_riotemp_max_aire,nivel_min_rionivel_inst_rio,nivel_min_riotemp_min_aire,nivel_min_riopres_atmosferica,dir_vientotemp_max_aire,dir_vientonivel_inst_rio,dir_vientotemp_min_aire,dir_vientopres_atmosferica,temp_max_airenivel_inst_rio,temp_max_airetemp_min_aire,temp_max_airepres_atmosferica,nivel_inst_riotemp_min_aire,nivel_inst_riopres_atmosferica,temp_min_airepres_atmosferica,Level Deforestation,Level Illicit Use,Level Ecocidios,Level Environment Pollution,latitud,longitud,municipio
0,0.056,-0.594,-0.18,0.385,0,-0.096,-0.319,0,-0.263,0.0,24035340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208,-0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.436,0.353,0.2,0.0,-0.037,0.225,0.0,0.291,0.049,0.206,0.0,-0.433,-0.01,0.0,0.045,0.005,0.0,0.127,-0.018,0.0,-0.011,0.311,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.4,-0.4,0.0,0.991,0.493,0.0,0.0,0.54,-0.2,-0.3,-9.6,-9.5,5.676944444,-72.96791667,SOGAMOSO
0,0,0,0,0,0,0,0,0.008,0,0,3502700147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.7,-0.6,-0.1,4.21602,-73.81577,GUAYABETAL
0,0.006,0,-0.041,-0.25,0,0,-0.148,0,-0.093,0,2403000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.0,0.0,0.38,0.0,0.403,0.0,0.0,0.0,-0.259,0.0,-0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.0,0.0,-1.3,-1.4,-6.9,-7.0,6.447166667,-72.497694444,GUACAMAYAS
0,0,-0.087,-0.077,0,0,0.166,-0.182,0,-0.141,0.0,35060210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,-0.349,0.359,0.0,0.337,-0.823,0.0,0.0,0.454,0.999,0.0,0.997,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.318,0.0,-0.249,0.85,0.0,0.984,-0.88,0.0,0.0,-0.876,-0.8,-0.9,-9.4,-9.4,4.65025,-73.64144444,JUNÍN
0,0.0,0,-0.042,0,0,0,0,0,0,0,3502500135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679,0.0,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.0,0.0,-1.2,1.3,-0.6,-0.2,4.22553,-73.81481,GUAYABETAL
0,0,1,0,0,0,-0.169,0,0,0,0,23065120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999,0.0,0.0,0.253,-0.112,0.0,-0.006,0.622,0.0,0.0,-0.756,0.0,0.0,0.277,-0.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.387,0.0,-0.346,-0.674,0.0,0.975,-0.894,0.0,0.0,-0.904,0.1,0.9,-1.7,-1.0,5.141555556,-74.13936111,PACHO
0,0,0,0,1,0,0,0,0,0,0,35160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,-0.5,0.0,5.614277778,-72.86747222,SOGAMOSO
0,0,-0.626,-0.123,0,0,0,0,0,-0.116,0,35195060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,-1.0,0.0,-0.43,-0.093,0.0,0.005,-0.529,-1.0,0.0,-0.502,0.831,0.0,0.902,-0.307,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.657,0.0,-0.187,-0.57,0.0,0.174,0.849,0.0,0.0,0.101,-0.3,1.1,-3.0,-2.5,5.523611111,-72.79097222,AQUITANIA
0,0,-0.31,0,0,0,0,-0.185,0,-0.119,-0.001,35235010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.553,0.51,0.0,0.646,0.582,0.0,0.0,0.904,1.0,0.0,0.996,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.0,0.595,0.605,0.0,0.945,-0.447,0.0,0.0,-0.187,-1.1,-1.2,-6.6,-6.7,6.011666667,-72.52927778,SOCOTÁ
0,0,0.155,0,0,0,0,0,0,0,-0.0,35165000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,-0.018,0.0,0.094,0.508,0.0,0.0,-0.632,0.866,0.0,0.655,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453,0.0,0.418,-0.793,0.0,0.961,-0.836,0.0,0.0,-0.893,-0.3,0.8,-0.2,0.2,5.574972222,-72.941,CUÍTIVA
